NC_022663.1 Mycobacterium kansasii ATCC 12478, complete sequence
NZ_CP085200.1 Mycobacterium ulcerans strain JKD8049 chromosome, complete genome
NZ_CP085918.1 Mycobacteroides abscessus subsp. abscessus strain FDAARGOS_1605 chromosome, complete genome
NZ_CP089224.1 Mycobacterium ostraviense strain FDAARGOS_1613 chromosome, complete genome
NZ_CP092362.1 Mycobacterium crocinum strain JCM 16369 chromosome, complete genome
NZ_CP092364.1 Mycobacterium goodii strain ATCC 700504 chromosome, complete genome
NZ_CP092427.1 Mycobacterium rufum strain JCM 16372 chromosome, complete genome
NZ_CP092430.1 Mycobacterium virginiense strain DSM 100883 chromosome, complete genome
NZ_CP092488.1 Mycobacterium paraterrae strain DSM 45127 chromosome, complete genome
NZ_LT546234.1 Mycobacterium interjectum strain ATCC 51457T, whole genome shotgun sequence
NZ_FUEZ01000004.1 Mycobacterium numidiamassiliense strain AB215, whole genome shotgun sequence
NZ_LT721901.1 Mycobacterium rhizamassiliense strain AB57, whole genome shotgun sequence
NZ_LT717690.1 Mycobacterium terramassiliense strain AB308, whole genome shotgun sequence
NZ_FXEG02000008.1 Mycobacterium ahvazicum strain AFP003, whole genome shotgun sequence
NZ_OCVX01000001.1 Mycobacterium simulans strain FI-09026, whole genome shotgun sequence
NZ_LR130759.1 Mycobacterium basiliense isolate 901379 chromosome I, complete sequence
NZ_UEGW01000003.1 Mycobacterium shimoidei strain P7336, whole genome shotgun sequence
NZ_UATA01000021.1 Mycobacterium xenopi strain NCTC10042, whole genome shotgun sequence
NZ_UPHQ01000360.1 Mycobacterium innocens strain MK13 isolate MK13, whole genome shotgun sequence
NZ_UPHP01000195.1 Mycobacterium attenuatum strain MK136 isolate MK136, whole genome shotgun sequence
NZ_UPHU01000002.1 Mycobacterium pseudokansasii strain MK142, whole genome shotgun sequence
NZ_CAJMWN010000001.1 Mycobacterium riyadhense isolate MR-226, whole genome shotgun sequence
HG964481.1 Mycobacterium farcinogenes DSM 43637 genomic scaffold, SCAFFOLD00001, whole genome shotgun sequence
CP007220.1 Mycobacterium chelonae CCUG 47445, complete genome
NZ_CP011530.1 Mycobacteroides immunogenum strain CCUG 47286 chromosome, complete genome
NZ_MLIK01000002.1 Mycobacteroides franklinii strain 1559 NODE_10_length_1329_cov_78.6988, whole genome shotgun sequence
NZ_CP024633.1 Mycobacteroides salmoniphilum strain DSM 43276 chromosome
